pizza_id,order_id,quantity,order_date,total_price
1,1,1,01/01/2015 00:00,13.25
2,2,1,01/01/2015 00:00,16
3,2,1,01/01/2015 00:00,18.5
4,2,1,01/01/2015 00:00,20.75
5,2,1,01/01/2015 00:00,16
6,2,1,01/01/2015 00:00,20.75
7,3,1,01/01/2015 00:00,16.5
8,3,1,01/01/2015 00:00,20.75
9,4,1,01/01/2015 00:00,16.5
10,5,1,01/01/2015 00:00,16.5
11,6,1,01/01/2015 00:00,12.75
12,6,1,01/01/2015 00:00,12
13,7,1,01/01/2015 00:00,12.5
14,8,1,01/01/2015 00:00,12.5
15,9,1,01/01/2015 00:00,12
16,9,1,01/01/2015 00:00,12
17,9,1,01/01/2015 00:00,20.5
18,9,1,01/01/2015 00:00,20.75
19,9,1,01/01/2015 00:00,12.5
20,9,1,01/01/2015 00:00,12
21,9,1,01/01/2015 00:00,20.75
22,9,1,01/01/2015 00:00,20.75
23,9,1,01/01/2015 00:00,12
24,10,1,01/01/2015 00:00,20.25
25,10,1,01/01/2015 00:00,20.75
26,11,1,01/01/2015 00:00,20.75
27,11,1,01/01/2015 00:00,20.75
28,11,1,01/01/2015 00:00,16.75
29,11,1,01/01/2015 00:00,15.25
30,12,1,01/01/2015 00:00,20.75
31,12,1,01/01/2015 00:00,12.75
32,12,1,01/01/2015 00:00,20.75
33,12,1,01/01/2015 00:00,16.5
34,13,1,01/01/2015 00:00,20.25
35,14,1,01/01/2015 00:00,12
36,15,1,01/01/2015 00:00,12
37,15,1,01/01/2015 00:00,18.5
38,15,1,01/01/2015 00:00,20.75
39,15,1,01/01/2015 00:00,12
40,16,1,01/01/2015 00:00,17.95
41,16,1,01/01/2015 00:00,12
42,16,1,01/01/2015 00:00,20.75
43,17,1,01/01/2015 00:00,20.75
44,17,1,01/01/2015 00:00,16.25
45,17,1,01/01/2015 00:00,18.5
46,17,1,01/01/2015 00:00,14.75
47,17,1,01/01/2015 00:00,16.5
48,17,1,01/01/2015 00:00,12.75
